,years,SSP1-19,SSP1-19_zeroed,SSP1-19_2GtC_373,SSP1-19_4GtC_373,SSP1-19_6GtC_373,SSP1-26,SSP1-26_zeroed,SSP1-26_2GtC_373,SSP1-26_4GtC_373,SSP1-26_6GtC_373,SSP2-45,SSP2-45_zeroed,SSP2-45_2GtC_373,SSP2-45_4GtC_373,SSP2-45_6GtC_373,SSP4-34,SSP4-34_zeroed,SSP4-34_2GtC_373,SSP4-34_4GtC_373,SSP4-34_6GtC_373,SSP4-60,SSP4-60_zeroed,SSP4-60_2GtC_373,SSP4-60_4GtC_373,SSP4-60_6GtC_373
0,2015,10.678016262987025,0.0,0.0,0.0,0.0,10.678016262987025,0.0,0.0,0.0,0.0,10.676934006337174,0.0,0.0,0.0,0.0,10.678016262987025,0.0,0.0,0.0,0.0,10.678016262987025,0.0,0.0,0.0,0.0
1,2016,10.707525362299847,0.0,0.0,0.0,0.0,10.71354101582127,0.0,0.0,0.0,0.0,10.758685199424596,0.0,0.0,0.0,0.0,10.673848621923582,0.0,0.0,0.0,0.0,10.67384876146412,0.0,0.0,0.0,0.0
2,2017,10.73703446161267,0.0,0.0,0.0,0.0,10.749065768655516,0.0,0.0,0.0,0.0,10.840436392512018,0.0,0.0,0.0,0.0,10.66968098086014,0.0,0.0,0.0,0.0,10.669681259941216,0.0,0.0,0.0,0.0
3,2018,10.766543560925493,0.0,0.0,0.0,0.0,10.784590521489763,0.0,0.0,0.0,0.0,10.922187585599438,0.0,0.0,0.0,0.0,10.665513339796696,0.0,0.0,0.0,0.0,10.66551375841831,0.0,0.0,0.0,0.0
4,2019,10.796052660238315,0.0,0.0,0.0,0.0,10.820115274324008,0.0,0.0,0.0,0.0,11.00393877868686,0.0,0.0,0.0,0.0,10.661345698733253,0.0,0.0,0.0,0.0,10.661346256895406,0.0,0.0,0.0,0.0
5,2020,10.825561759551137,0.0,0.0,0.0,0.0,10.855640027158254,0.0,0.0,0.0,0.0,11.085689971774283,0.0,0.0,0.0,0.0,10.65717805766981,0.0,0.0,0.0,0.0,10.6571787553725,0.0,0.0,0.0,0.0
6,2021,10.366112972252221,0.0,0.0,0.0,0.0,10.717378487729887,0.0,0.0,0.0,0.0,11.16283177148231,0.0,0.0,0.0,0.0,10.531259327865426,0.0,0.0,0.0,0.0,10.823313060484065,0.0,0.0,0.0,0.0
7,2022,9.906664184953303,0.0,0.0,0.0,0.0,10.579116948301522,0.0,0.0,0.0,0.0,11.239973571190337,0.0,0.0,0.0,0.0,10.405340598061043,0.0,0.0,0.0,0.0,10.989447365595627,0.0,0.0,0.0,0.0
8,2023,9.447215397654388,0.0,0.0,0.0,0.0,10.440855408873155,0.0,0.0,0.0,0.0,11.317115370898364,0.0,0.0,0.0,0.0,10.279421868256659,0.0,0.0,0.0,0.0,11.15558167070719,0.0,0.0,0.0,0.0
9,2024,8.987766610355472,0.0,0.0,0.0,0.0,10.302593869444788,0.0,0.0,0.0,0.0,11.39425717060639,0.0,0.0,0.0,0.0,10.153503138452276,0.0,0.0,0.0,0.0,11.321715975818755,0.0,0.0,0.0,0.0
10,2025,8.528317823056554,0.0,0.0,0.0,0.0,10.164332330016421,0.0,0.0,0.0,0.0,11.471398970314418,0.0,0.0,0.0,0.0,10.027584408647892,0.0,0.0,0.0,0.0,11.487850280930317,0.0,0.0,0.0,0.0
11,2026,8.068869035757638,0.0,0.0,0.0,0.0,10.026070790588056,0.0,0.0,0.0,0.0,11.548540770022447,0.0,0.0,0.0,0.0,9.901665678843507,0.0,0.0,0.0,0.0,11.653984586041881,0.0,0.0,0.0,0.0
12,2027,7.609420248458722,0.0,0.0,0.0,0.0,9.88780925115969,0.0,0.0,0.0,0.0,11.625682569730474,0.0,0.0,0.0,0.0,9.775746949039124,0.0,0.0,0.0,0.0,11.820118891153445,0.0,0.0,0.0,0.0
13,2028,7.149971461159805,0.0,0.0,0.0,0.0,9.749547711731323,0.0,0.0,0.0,0.0,11.7028243694385,0.0,0.0,0.0,0.0,9.64982821923474,0.0,0.0,0.0,0.0,11.98625319626501,0.0,0.0,0.0,0.0
14,2029,6.6905226738608885,0.0,0.0,0.0,0.0,9.611286172302957,0.0,0.0,0.0,0.0,11.779966169146528,0.0,0.0,0.0,0.0,9.523909489430357,0.0,0.0,0.0,0.0,12.152387501376571,0.0,0.0,0.0,0.0
15,2030,6.231073886561973,0.0,0.0,0.0,0.0,9.47302463287459,0.0,0.0,0.0,0.0,11.857107968854555,0.0,0.0,0.0,0.0,9.397990759625973,0.0,0.0,0.0,0.0,12.318521806488135,0.0,0.0,0.0,0.0
16,2031,5.893650738434283,0.0,0.0,0.0,0.0,9.24869987926938,0.0,0.0,0.0,0.0,11.878294445549944,0.0,0.0,0.0,0.0,9.21471284856059,0.0,0.0,0.0,0.0,12.39965850057413,0.0,0.0,0.0,0.0
17,2032,5.556227590306593,0.0,0.0,0.0,0.0,9.02437512566417,0.0,0.0,0.0,0.0,11.899480922245331,0.0,0.0,0.0,0.0,9.031434937495206,0.0,0.0,0.0,0.0,12.480795194660127,0.0,0.0,0.0,0.0
18,2033,5.218804442178902,0.0,0.0,0.0,0.0,8.800050372058958,0.0,0.0,0.0,0.0,11.920667398940719,0.0,0.0,0.0,0.0,8.848157026429822,0.0,0.0,0.0,0.0,12.561931888746123,0.0,0.0,0.0,0.0
19,2034,4.881381294051213,0.0,0.0,0.0,0.0,8.575725618453747,0.0,0.0,0.0,0.0,11.941853875636108,0.0,0.0,0.0,0.0,8.664879115364439,0.0,0.0,0.0,0.0,12.643068582832118,0.0,0.0,0.0,0.0
20,2035,4.543958145923522,0.0,0.0,0.0,0.0,8.351400864848536,0.0,0.0,0.0,0.0,11.963040352331497,0.0,0.0,0.0,0.0,8.481601204299054,0.0,0.0,0.0,0.0,12.724205276918113,0.0,0.0,0.0,0.0
21,2036,4.206534997795832,0.0,0.0,0.0,0.0,8.127076111243326,0.0,0.0,0.0,0.0,11.984226829026884,0.0,0.0,0.0,0.0,8.298323293233672,0.0,0.0,0.0,0.0,12.80534197100411,0.0,0.0,0.0,0.0
22,2037,3.8691118496681423,0.0,0.0,0.0,0.0,7.902751357638115,0.0,0.0,0.0,0.0,12.005413305722271,0.0,0.0,0.0,0.0,8.115045382168287,0.0,0.0,0.0,0.0,12.886478665090106,0.0,0.0,0.0,0.0
